Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.0015
gamma: 0.95
policy_type: card_aware
num_players: 4
max_hand_size: 5
card_embed_dim: 12
hidden_dim: 32
==================================================
Episode 45000: Reward=-17.15, Length=2, Bosses=0, WinRate=97.00%
Episode 45200: Reward=121.57, Length=27, Bosses=5, WinRate=96.00%
Episode 45400: Reward=24.98, Length=12, Bosses=1, WinRate=95.00%
Episode 45600: Reward=48.16, Length=20, Bosses=2, WinRate=93.00%
Episode 45800: Reward=79.09, Length=24, Bosses=3, WinRate=99.00%
Episode 46000: Reward=32.17, Length=13, Bosses=2, WinRate=94.00%
Episode 46200: Reward=25.85, Length=12, Bosses=1, WinRate=94.00%
Episode 46400: Reward=62.90, Length=30, Bosses=2, WinRate=93.00%
Episode 46600: Reward=75.25, Length=28, Bosses=3, WinRate=96.00%
Episode 46800: Reward=32.07, Length=12, Bosses=2, WinRate=97.00%
Episode 47000: Reward=19.93, Length=14, Bosses=1, WinRate=99.00%
Episode 47200: Reward=55.58, Length=17, Bosses=3, WinRate=93.00%
Episode 47400: Reward=70.85, Length=20, Bosses=3, WinRate=100.00%
Episode 47600: Reward=43.70, Length=20, Bosses=2, WinRate=100.00%
Episode 47800: Reward=80.79, Length=27, Bosses=3, WinRate=97.00%
Episode 48000: Reward=103.99, Length=30, Bosses=4, WinRate=96.00%
Episode 48200: Reward=90.05, Length=22, Bosses=4, WinRate=94.00%
Episode 48400: Reward=15.93, Length=10, Bosses=1, WinRate=98.00%
Episode 48600: Reward=33.75, Length=12, Bosses=2, WinRate=99.00%
Episode 48800: Reward=94.71, Length=26, Bosses=4, WinRate=95.00%
Episode 49000: Reward=-7.65, Length=2, Bosses=0, WinRate=95.00%
Episode 49200: Reward=14.45, Length=13, Bosses=1, WinRate=98.00%
Episode 49400: Reward=34.47, Length=14, Bosses=2, WinRate=94.00%
Episode 49600: Reward=47.57, Length=13, Bosses=3, WinRate=98.00%
Episode 49800: Reward=11.05, Length=6, Bosses=1, WinRate=95.00%
Episode 50000: Reward=84.19, Length=22, Bosses=3, WinRate=96.00%
Training log ended
