Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.001
gamma: 0.99
policy_type: fixed_actor_critic
num_players: 2
max_hand_size: 7
card_embed_dim: 16
hidden_dim: 64
entropy_coefficient: 0.02
value_loss_coefficient: 0.5
==================================================
Episode 11900: Reward=48.10, Length=14, Bosses=1, WinRate=100.00%
Episode 12000: Reward=186.40, Length=22, Bosses=4, WinRate=100.00%
Episode 12100: Reward=132.50, Length=21, Bosses=3, WinRate=100.00%
Episode 12200: Reward=87.40, Length=12, Bosses=2, WinRate=100.00%
Episode 12300: Reward=85.40, Length=16, Bosses=2, WinRate=100.00%
Episode 12400: Reward=121.80, Length=15, Bosses=3, WinRate=100.00%
Episode 12500: Reward=121.80, Length=13, Bosses=3, WinRate=100.00%
Episode 12600: Reward=75.10, Length=14, Bosses=2, WinRate=100.00%
Episode 12700: Reward=40.00, Length=13, Bosses=1, WinRate=100.00%
Episode 12800: Reward=126.70, Length=17, Bosses=3, WinRate=99.00%
Episode 12900: Reward=114.20, Length=13, Bosses=3, WinRate=100.00%
Episode 13000: Reward=127.40, Length=19, Bosses=3, WinRate=100.00%
Episode 13100: Reward=70.30, Length=10, Bosses=2, WinRate=100.00%
Episode 13200: Reward=43.80, Length=13, Bosses=1, WinRate=100.00%
Episode 13300: Reward=71.80, Length=11, Bosses=2, WinRate=100.00%
Episode 13400: Reward=166.40, Length=18, Bosses=4, WinRate=100.00%
Episode 13500: Reward=54.90, Length=12, Bosses=1, WinRate=100.00%
Episode 13600: Reward=87.60, Length=12, Bosses=2, WinRate=100.00%
Episode 13700: Reward=102.00, Length=18, Bosses=2, WinRate=100.00%
Episode 13800: Reward=33.00, Length=7, Bosses=1, WinRate=100.00%
Episode 13900: Reward=85.60, Length=13, Bosses=2, WinRate=100.00%
Episode 14000: Reward=53.60, Length=11, Bosses=1, WinRate=100.00%
Episode 14100: Reward=123.70, Length=18, Bosses=3, WinRate=100.00%
Episode 14200: Reward=55.70, Length=20, Bosses=1, WinRate=100.00%
Episode 14300: Reward=75.70, Length=10, Bosses=2, WinRate=99.00%
Episode 14400: Reward=36.40, Length=9, Bosses=1, WinRate=100.00%
Episode 14500: Reward=83.00, Length=18, Bosses=2, WinRate=100.00%
Episode 14600: Reward=52.40, Length=11, Bosses=1, WinRate=100.00%
Episode 14700: Reward=54.40, Length=15, Bosses=1, WinRate=100.00%
Episode 14800: Reward=181.80, Length=23, Bosses=4, WinRate=100.00%
Episode 14900: Reward=65.00, Length=11, Bosses=2, WinRate=100.00%
Episode 15000: Reward=85.10, Length=18, Bosses=2, WinRate=100.00%
Episode 15100: Reward=92.90, Length=12, Bosses=2, WinRate=100.00%
Episode 15200: Reward=53.80, Length=15, Bosses=1, WinRate=100.00%
Episode 15300: Reward=123.40, Length=17, Bosses=3, WinRate=100.00%
Episode 15400: Reward=37.30, Length=7, Bosses=1, WinRate=100.00%
Episode 15500: Reward=36.50, Length=10, Bosses=1, WinRate=100.00%
Episode 15600: Reward=77.10, Length=14, Bosses=2, WinRate=100.00%
Episode 15700: Reward=35.40, Length=7, Bosses=1, WinRate=100.00%
Episode 15800: Reward=110.10, Length=12, Bosses=2, WinRate=100.00%
Episode 15900: Reward=70.00, Length=13, Bosses=2, WinRate=100.00%
Episode 16000: Reward=144.50, Length=16, Bosses=4, WinRate=100.00%
Episode 16100: Reward=120.00, Length=19, Bosses=3, WinRate=100.00%
